parameter,mu_star,mu_star_conf,sigma,mu,era,rank
WWR,24.8545,2.7477,4.4881,24.8545,2,1
infiltration,22.4438,3.1012,5.1145,22.4438,2,2
window_U,16.1503,3.1463,4.9236,16.1503,2,3
wall_U,13.5811,3.8443,6.0926,13.5811,2,4
heating_setpoint,7.0788,2.2353,3.4929,7.0788,2,5
roof_U,6.6111,2.1685,3.7433,6.6111,2,6
cooling_setpoint,6.1367,2.4516,4.3287,-6.1367,2,7
occupant_density,4.9682,1.8046,5.5600,-2.3478,2,8
lighting_power,4.0214,1.4619,4.1976,2.4839,2,9
equipment_power,3.6734,1.3601,4.4421,0.3055,2,10
